"Date","Steps","Distance (km)","Elevation (m)","Calories"
"2015-08-31","11381","9.47","0","402"
"2015-08-30","16485","13.22","0","589"
"2015-08-29","29788","23.96","0","1083"
"2015-08-28","17201","14.77","0","637"
"2015-08-27","10737","8.96","0","381"
"2015-08-26","11360","9.56","0","414"
"2015-08-25","11016","9.25","0","397"
"2015-08-24","13786","11.64","0","511"
"2015-08-23","8334","6.96","0","302"
"2015-08-22","5917","4.94","0","199"
"2015-08-21","11331","9.52","0","415"
"2015-08-20","11258","9.57","0","416"
"2015-08-19","10658","9.00","0","388"
"2015-08-18","11282","9.54","0","413"
"2015-08-17","10516","8.96","0","384"
"2015-08-16","12010","10.04","0","433"
"2015-08-15","12397","10.10","0","449"
"2015-08-14","11813","9.99","0","430"
"2015-08-13","10991","9.29","0","393"
"2015-08-12","11561","9.88","0","422"
"2015-08-11","16304","13.55","0","594"
"2015-08-10","17019","14.07","0","616"
"2015-08-09","12619","10.19","0","450"
"2015-08-08","11388","9.44","0","397"
"2015-08-07","12598","10.08","0","441"
"2015-08-06","13471","10.77","0","483"
"2015-08-05","8681","6.85","0","303"
"2015-08-04","7559","6.02","0","257"
"2015-08-03","15898","12.59","0","566"
"2015-08-02","15932","13.22","0","570"
"2015-08-01","15553","12.86","0","557"
"2015-07-31","7185","6.07","0","249"
"2015-07-30","10363","8.78","0","376"
"2015-07-29","10206","8.66","0","370"
"2015-07-28","8490","7.16","0","303"
"2015-07-27","9066","7.52","0","325"
"2015-07-26","7468","6.87","0","314"
"2015-07-25","7340","6.05","0","257"
"2015-07-24","7421","6.38","0","266"
"2015-07-23","15726","13.01","0","577"
"2015-07-22","11851","9.93","0","424"
"2015-07-21","7518","6.27","0","264"
"2015-07-20","10069","8.40","0","358"
"2015-07-19","10010","8.08","0","349"
"2015-07-18","12016","9.98","0","431"
"2015-07-17","10124","8.70","0","377"
"2015-07-16","4576","3.74","0","157"
"2015-07-15","10082","8.33","0","360"
"2015-07-14","15067","12.34","0","549"
"2015-07-13","10271","8.56","0","371"
"2015-07-12","15174","12.27","0","533"
"2015-07-11","9104","7.61","0","306"
"2015-07-10","10925","9.23","0","399"
"2015-07-09","11013","9.21","0","405"
"2015-07-08","11255","9.20","0","401"
"2015-07-07","9881","8.04","0","352"
"2015-07-06","10134","8.44","0","362"
"2015-07-05","16532","13.70","0","583"
"2015-07-04","7827","6.41","0","271"
"2015-07-03","17725","14.56","0","641"
"2015-07-02","6162","5.06","0","211"
"2015-07-01","10392","8.67","0","368"
"2015-06-30","9496","8.02","0","341"
"2015-06-29","10716","8.92","0","296"
"2015-06-28","7608","6.09","0","205"
"2015-06-27","3641","3.03","0","95"
"2015-06-26","8794","7.43","0","243"
