"Date","Heart rate (bpm)","Comments"
"2015-08-30 8:39 PM","69",""
"2015-08-28 9:40 AM","83",""
"2015-08-27 11:27 AM","65",""
"2015-08-26 8:13 AM","62",""
"2015-08-24 8:43 AM","73",""
"2015-08-23 11:58 AM","69",""
"2015-08-22 11:17 AM","89",""
"2015-08-21 9:29 AM","69",""
"2015-08-20 10:37 AM","66",""
"2015-08-19 9:21 AM","55",""
"2015-08-18 9:21 AM","64",""
"2015-08-17 9:27 AM","63",""
"2015-08-16 12:47 PM","81",""
"2015-08-15 1:01 PM","73",""
"2015-08-14 9:16 AM","65",""
"2015-08-13 9:38 AM","68",""
"2015-08-12 9:40 AM","68",""
"2015-08-11 8:39 AM","60",""
"2015-08-10 9:32 AM","70",""
"2015-07-30 8:38 AM","73",""
"2015-07-29 9:10 AM","75",""
"2015-07-28 8:43 AM","68",""
"2015-07-27 8:59 AM","62",""
"2015-07-26 11:36 AM","65",""
"2015-07-25 10:41 AM","65",""
"2015-07-24 12:06 PM","69",""
"2015-07-23 8:22 AM","66",""
"2015-07-22 7:40 AM","65",""
"2015-07-21 8:42 AM","64",""
"2015-07-20 7:44 AM","65",""
"2015-07-19 11:14 AM","73",""
"2015-07-18 10:17 AM","73",""
"2015-07-17 7:44 AM","66",""
"2015-07-16 12:55 PM","66",""
"2015-07-15 8:27 AM","73",""
"2015-07-14 7:35 AM","68",""
"2015-07-13 7:42 AM","62",""
"2015-07-12 8:42 PM","62",""
"2015-07-11 6:26 AM","72",""
"2015-07-10 7:29 AM","66",""
"2015-07-09 7:58 AM","69",""
"2015-07-08 7:30 AM","63",""
"2015-07-07 7:36 AM","62",""
"2015-07-06 8:31 PM","73",""
"2015-07-05 10:18 AM","81",""
"2015-07-03 9:05 AM","73",""
"2015-07-02 8:55 AM","72",""
"2015-07-01 8:18 AM","70",""
"2015-06-30 9:56 AM","75",""
"2015-06-29 9:13 AM","76",""
"2015-06-28 12:51 PM","88",""
"2015-06-27 5:52 PM","64",""
"2015-06-26 9:57 AM","77",""
"2015-06-25 9:26 AM","68",""
"2015-06-24 8:33 AM","75",""
"2015-06-23 8:52 AM","72",""
"2015-06-22 9:15 AM","71",""
"2015-06-20 3:54 PM","62",""
"2015-06-19 9:38 AM","75",""
"2015-06-18 8:46 AM","68",""
"2015-06-17 8:50 AM","67",""
"2015-06-16 9:24 AM","69",""
"2015-06-15 10:00 AM","70",""
"2015-06-14 2:24 PM","85",""
"2015-06-13 1:38 PM","75",""
"2015-06-12 8:44 AM","66",""
"2015-06-11 6:38 AM","58",""
"2015-06-10 8:26 AM","75",""
"2015-06-09 9:08 AM","76",""
"2015-06-08 8:27 AM","63",""
"2015-06-07 3:24 PM","57",""
"2015-06-06 7:04 PM","85",""
"2015-06-06 1:10 PM","89",""
"2015-06-05 11:03 AM","84",""
"2015-06-04 10:04 AM","75",""
"2015-06-03 9:38 AM","75",""
"2015-06-02 8:52 AM","63",""
"2015-06-01 9:51 AM","63",""
"2015-05-31 9:55 PM","68",""
"2015-05-31 6:26 AM","75",""
"2015-05-30 1:44 PM","74",""
"2015-05-29 8:57 AM","76",""
"2015-05-28 11:53 AM","79",""
"2015-05-27 8:14 AM","73",""
"2015-05-26 9:38 AM","69",""
"2015-05-25 11:39 AM","68",""
"2015-05-24 10:53 AM","73",""
"2015-05-23 12:48 PM","75",""
"2015-05-22 9:34 AM","70",""
"2015-05-20 8:11 AM","64",""
"2015-05-19 9:09 AM","69",""
"2015-05-18 7:27 PM","62",""
"2015-05-17 2:51 PM","62",""
"2015-05-16 11:54 AM","96",""
"2015-05-15 8:16 AM","71",""
"2015-05-14 10:46 AM","73",""
"2015-05-13 7:58 AM","75",""
"2015-05-12 7:42 AM","58",""
"2015-05-11 8:06 AM","66",""
"2015-05-10 1:57 PM","83",""
"2015-05-09 12:45 PM","78",""
"2015-05-08 9:48 AM","73",""
"2015-05-07 12:01 PM","69",""
"2015-05-06 9:27 AM","72",""
"2015-05-05 9:39 AM","69",""
"2015-05-04 9:32 AM","71",""
"2015-05-03 11:19 AM","67",""
"2015-04-25 3:20 AM","86",""
"2015-04-24 8:57 AM","64",""
"2015-04-23 12:13 PM","74",""
"2015-04-22 8:43 AM","68",""
"2015-04-21 8:31 AM","69",""
"2015-04-20 8:43 AM","65",""
"2015-04-19 1:04 PM","79",""
"2015-04-18 11:17 AM","68",""
"2015-04-17 11:26 AM","76",""
"2015-04-16 8:36 AM","63",""
"2015-04-15 8:48 AM","71",""
"2015-04-14 9:24 AM","67",""
"2015-04-13 8:36 AM","67",""
"2015-04-12 3:07 PM","73",""
"2015-04-11 11:50 AM","71",""
"2015-04-10 9:29 AM","66",""
"2015-04-09 9:28 AM","56",""
"2015-04-08 9:05 AM","73",""
"2015-04-07 9:16 AM","61",""
"2015-04-06 10:41 PM","62",""
"2015-04-03 6:27 AM","66",""
"2015-04-02 9:14 AM","63",""
"2015-04-01 8:39 AM","58",""
