"Date","Weight (kg)","Fat mass (%)","Lean mass (%)","Comments"
"2015-08-30 8:39 PM","69.53","16.39","83.61",""
"2015-08-28 9:40 AM","69.21","17.78","82.22",""
"2015-08-27 11:27 AM","68.79","17.5","82.5",""
"2015-08-26 8:13 AM","69.46","17.47","82.53",""
"2015-08-24 8:43 AM","69.02","18.53","81.47",""
"2015-08-23 11:58 AM","69.14","17.62","82.38",""
"2015-08-22 11:17 AM","69.19","18.52","81.48",""
"2015-08-21 9:29 AM","69.31","17.86","82.14",""
"2015-08-20 10:37 AM","69.39","17.13","82.87",""
"2015-08-19 9:21 AM","69.83","17.9","82.1",""
"2015-08-18 9:21 AM","69.41","16.88","83.12",""
"2015-08-17 9:27 AM","69.7","17.35","82.65",""
"2015-08-16 12:47 PM","69.88","19.11","80.89",""
"2015-08-15 1:01 PM","70.69","18.66","81.34",""
"2015-08-14 9:16 AM","69.65","17.98","82.02",""
"2015-08-13 9:38 AM","69.91","17.51","82.49",""
"2015-08-12 9:40 AM","69.54","17.6","82.4",""
"2015-08-11 8:39 AM","70.03","18.6","81.4",""
"2015-08-10 9:32 AM","70.21","16.83","83.17",""
"2015-07-30 8:38 AM","68.97","18.52","81.48",""
"2015-07-29 9:10 AM","68.61","17.25","82.75",""
"2015-07-28 8:43 AM","69.09","17.47","82.53",""
"2015-07-27 8:59 AM","69.75","16.21","83.79",""
"2015-07-26 11:36 AM","69.97","18.44","81.56",""
"2015-07-25 10:41 AM","69.89","17.67","82.33",""
"2015-07-24 12:06 PM","69.58","17.95","82.05",""
"2015-07-23 8:22 AM","69.75","17.31","82.69",""
"2015-07-22 7:40 AM","69.9","17.9","82.1",""
"2015-07-21 8:42 AM","68.83","17.59","82.41",""
"2015-07-20 7:44 AM","69.34","17.87","82.13",""
"2015-07-19 11:14 AM","69.16","17.02","82.98",""
"2015-07-18 10:17 AM","69.36","17.64","82.36",""
"2015-07-17 7:44 AM","69.81","17.53","82.47",""
"2015-07-16 12:55 PM","69.34","17.76","82.24",""
"2015-07-15 8:27 AM","69.65","17.67","82.33",""
"2015-07-14 7:35 AM","69.48","17.54","82.46",""
"2015-07-13 7:42 AM","69.87","17.62","82.38",""
"2015-07-12 8:42 PM","69.38","16.45","83.55",""
"2015-07-11 6:26 AM","69.35","17.73","82.27",""
"2015-07-10 7:29 AM","69.05","17.54","82.46",""
"2015-07-09 7:58 AM","70.19","17.74","82.26",""
"2015-07-08 7:30 AM","69.2","17.55","82.45",""
"2015-07-07 7:36 AM","69.53","17.21","82.79",""
"2015-07-06 8:31 PM","69.61","15.33","84.67",""
"2015-07-05 10:18 AM","69.4","17.63","82.37",""
"2015-07-03 9:05 AM","69.04","17.31","82.69",""
"2015-07-02 8:55 AM","68.69","17.36","82.64",""
"2015-07-01 8:18 AM","68.62","17.31","82.69",""
"2015-06-30 9:56 AM","68.81","17.21","82.79",""
"2015-06-29 9:13 AM","68.44","17.35","82.65",""
"2015-06-28 12:51 PM","69.3","18.01","81.99",""
"2015-06-27 5:52 PM","69.43","16.66","83.34",""
"2015-06-26 9:57 AM","68.52","17.23","82.77",""
"2015-06-25 9:26 AM","68.57","16.67","83.33",""
"2015-06-24 8:33 AM","68.37","17.53","82.47",""
"2015-06-23 8:52 AM","69.24","17.82","82.18",""
"2015-06-22 9:15 AM","68.37","17.43","82.57",""
"2015-06-20 3:54 PM","69.43","17.32","82.68",""
"2015-06-19 9:38 AM","68.83","17.01","82.99",""
"2015-06-18 8:46 AM","68.57","17.05","82.95",""
"2015-06-17 8:50 AM","68.27","16.51","83.49",""
"2015-06-16 9:24 AM","67.93","16.54","83.46",""
"2015-06-15 10:00 AM","68.56","16.28","83.72",""
"2015-06-14 2:24 PM","68.56","17.01","82.99",""
"2015-06-13 1:38 PM","69.12","17.22","82.78",""
"2015-06-12 8:44 AM","68.58","16.64","83.36",""
